Timestamp,"East_Substation.EBF10B_751
Apparent Power
(kVA)","East_Substation.EBF10B_751
Current Avg
(A)","East_Substation.EBF10B_751
Power Factor
(%)","East_Substation.EBF10B_751
Real Power
(kW)","East_Substation.EBF2B_751
Apparent Power
(kVA)","East_Substation.EBF2B_751
Current Avg
(A)","East_Substation.EBF2B_751
Power Factor
(%)","East_Substation.EBF2B_751
Real Power
(kW)","East_Substation.EBF4B
Apparent Power
(kVA)","East_Substation.EBF4B
Current Avg
(A)","East_Substation.EBF4B
Power Factor
(%)","East_Substation.EBF4B
Real Power
(kW)","East_Substation.EBF6B
Apparent Power
(kVA)","East_Substation.EBF6B
Current Avg
(A)","East_Substation.EBF6B
Power Factor
(%)","East_Substation.EBF6B
Real Power
(kW)","East_Substation.EBF8B
Apparent Power
(kVA)","East_Substation.EBF8B
Current Avg
(A)","East_Substation.EBF8B
Power Factor
(%)","East_Substation.EBF8B
Real Power
(kW)","East_Substation.EWT
Apparent Power
(kVA)","East_Substation.EWT
Current Avg
(A)","East_Substation.EWT
Power Factor
(%)","East_Substation.EWT
Real Power
(kW)",
5/26/2020 10:00,,,,,"2,181.00",,,"1,988.00","3,783.00",,,"3,774.00",,,,,,,,,,,,,
5/26/2020 10:15,,,,,"2,177.00",,,"1,984.00","3,849.00",,,"3,839.00",,,,,,,,,,,,,
5/26/2020 10:30,,,,,"2,149.00",,,"1,962.00","3,813.00",,,"3,804.00",,,,,,,,,,,,,
5/26/2020 10:45,,,,,"2,162.00",,,"1,966.00","3,808.00",,,"3,798.00",,,,,,,,,,,,,
5/26/2020 11:00,,,,,"2,148.00",,,"1,957.00","3,818.00",,,"3,808.00",,,,,,,,,,,,,
5/26/2020 11:15,,,,,"2,185.00",,,"1,993.00","3,805.00",,,"3,795.00",,,,,,,,,,,,,
5/26/2020 11:30,,,,,"2,146.00",,,"1,962.00","3,848.00",,,"3,839.00",,,,,,,,,,,,,
5/26/2020 11:45,,,,,"2,179.00",,,"1,990.00","3,921.00",,,"3,910.00",,,,,,,,,,,,,
5/26/2020 12:00,,,,,"2,223.00",,,"2,023.00","4,022.00",,,"4,011.00",,,,,,,,,,,,,
5/26/2020 12:15,,,,,"2,253.00",,,"2,053.00","4,053.00",,,"4,042.00",,,,,,,,,,,,,
5/26/2020 12:30,,,,,"2,131.00",,,"1,934.00","4,062.00",,,"4,052.00",,,,,,,,,,,,,
5/26/2020 12:45,,,,,"2,154.00",,,"1,956.00","3,993.00",,,"3,983.00",,,,,,,,,,,,,
5/26/2020 13:00,,,,,"2,121.00",,,"1,929.00","4,024.00",,,"4,013.00",,,,,,,,,,,,,
5/26/2020 13:15,,,,,"2,162.00",,,"1,968.00","3,950.00",,,"3,940.00",,,,,,,,,,,,,
5/26/2020 13:30,,,,,"2,127.00",,,"1,932.00","4,014.00",,,"4,004.00",,,,,,,,,,,,,
5/26/2020 13:45,,,,,"2,065.00",,,"1,872.00","3,948.00",,,"3,938.00",,,,,,,,,,,,,
5/26/2020 14:00,,,,,"1,994.00",,,"1,805.00","3,952.00",,,"3,942.00",,,,,,,,,,,,,
5/26/2020 14:15,,,,,"2,071.00",,,"1,875.00","3,956.00",,,"3,946.00",,,,,,,,,,,,,
5/26/2020 14:30,,,,,"2,068.00",,,"1,862.00","3,994.00",,,"3,983.00",,,,,,,,,,,,,
5/26/2020 14:45,,,,,"2,149.00",,,"1,892.00","3,981.00",,,"3,970.00",,,,,,,,,,,,,
5/26/2020 15:00,,,,,"2,123.00",,,"1,874.00","3,945.00",,,"3,933.00",,,,,,,,,,,,,
5/26/2020 15:15,,,,,"2,112.00",,,"1,862.00","4,033.00",,,"4,019.00",,,,,,,,,,,,,
5/26/2020 15:30,,,,,"2,129.00",,,"1,881.00","3,988.00",,,"3,978.00",,,,,,,,,,,,,
5/26/2020 15:45,,,,,"2,137.00",,,"1,892.00","4,044.00",,,"4,033.00",,,,,,,,,,,,,
5/26/2020 16:00,,,,,"2,099.00",,,"1,853.00","4,024.00",,,"4,014.00",,,,,,,,,,,,,
5/26/2020 16:15,,,,,"2,186.00",,,"1,932.00","4,005.00",,,"3,995.00",,,,,,,,,,,,,
5/26/2020 16:30,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 16:45,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 17:00,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 17:15,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 17:30,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 17:45,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 18:00,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 18:15,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 18:30,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 18:45,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 19:00,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 19:15,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 19:30,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 19:45,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 20:00,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 20:15,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 20:30,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 20:45,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 21:00,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 21:15,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 21:30,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 21:45,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 22:00,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 22:15,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 22:30,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 22:45,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 23:00,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 23:15,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 23:30,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/26/2020 23:45,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 0:00,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 0:15,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 0:30,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 0:45,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 1:00,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 1:15,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 1:30,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 1:45,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 2:00,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 2:15,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 2:30,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 2:45,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 3:00,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 3:15,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 3:30,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 3:45,,,,,"2,123.00",,,"1,869.00","3,984.00",,,"3,973.00",,,,,,,,,,,,,
5/27/2020 4:00,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020 4:15,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020 4:30,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020 4:45,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020 5:00,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020 5:15,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020 5:30,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020 5:45,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020 6:00,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020 6:15,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020 6:30,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020 6:45,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020 7:00,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020 7:15,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020 7:30,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020 7:45,,,,,"2,102.00",,,"1,856.00","3,602.00",,,"3,591.00",,,,,,,,,,,,,
5/27/2020 8:00,,,,,"2,068.00",,,"1,818.00","3,620.00",,,"3,608.00",,,,,,,,,,,,,
5/27/2020 8:15,,,,,"2,047.00",,,"1,794.00","3,619.00",,,"3,608.00",,,,,,,,,,,,,
5/27/2020 8:30,,,,,"2,089.00",,,"1,844.00","3,612.00",,,"3,602.00",,,,,,,,,,,,,
5/27/2020 8:45,,,,,"2,106.00",,,"1,856.00","3,770.00",,,"3,759.00",,,,,,,,,,,,,
5/27/2020 9:00,,,,,"2,079.00",,,"1,834.00","3,745.00",,,"3,733.00",,,,,,,,,,,,,
5/27/2020 9:15,,,,,"2,094.00",,,"1,853.00","3,693.00",,,"3,683.00",,,,,,,,,,,,,
5/27/2020 9:30,,,,,"2,083.00",,,"1,843.00","3,682.00",,,"3,670.00",,,,,,,,,,,,,
5/27/2020 9:45,,,,,"2,097.00",,,"1,858.00","3,675.00",,,"3,665.00",,,,,,,,,,,,,
5/27/2020 10:00,,,,,"2,127.00",,,"1,893.00","3,685.00",,,"3,674.00",,,,,,,,,,,,,
5/27/2020 10:15,,,,,"2,125.00",,,"1,880.00","3,699.00",,,"3,689.00",,,,,,,,,,,,,
5/27/2020 10:30,,,,,"2,083.00",,,"1,848.00","3,720.00",,,"3,708.00",,,,,,,,,,,,,
5/27/2020 10:45,,,,,"2,202.00",,,"1,962.00","3,657.00",,,"3,647.00",,,,,,,,,,,,,
5/27/2020 11:00,,,,,"2,135.00",,,"1,891.00","3,645.00",,,"3,634.00",,,,,,,,,,,,,
5/27/2020 11:15,,,,,"2,203.00",,,"1,956.00","3,703.00",,,"3,692.00",,,,,,,,,,,,,
5/27/2020 11:30,,,,,"2,148.00",,,"1,914.00","3,767.00",,,"3,757.00",,,,,,,,,,,,,
5/27/2020 11:45,,,,,"2,163.00",,,"1,934.00","3,752.00",,,"3,741.00",,,,,,,,,,,,,
5/27/2020 12:00,,,,,"2,247.00",,,"2,008.00","3,673.00",,,"3,662.00",,,,,,,,,,,,,
5/27/2020 12:15,,,,,"2,169.00",,,"1,930.00","3,753.00",,,"3,741.00",,,,,,,,,,,,,
5/27/2020 12:30,,,,,"2,201.00",,,"1,962.00","3,826.00",,,"3,815.00",,,,,,,,,,,,,
5/27/2020 12:45,,,,,"2,214.00",,,"1,972.00","3,885.00",,,"3,873.00",,,,,,,,,,,,,
5/27/2020 13:00,,,,,"2,169.00",,,"1,936.00","3,914.00",,,"3,903.00",,,,,,,,,,,,,
5/27/2020 13:15,,,,,"2,162.00",,,"1,921.00","3,902.00",,,"3,890.00",,,,,,,,,,,,,
