Timestamp,"MCSS.MA8240
Real Power
(kW)"
9/15/2020 13:00,"-7,085.39"
9/15/2020 13:15,"-7,093.48"
9/15/2020 13:30,"-7,201.83"
9/15/2020 13:45,"-7,363.17"
9/15/2020 14:00,"-7,337.90"
9/15/2020 14:15,"-7,399.33"
9/15/2020 14:30,"-7,400.40"
9/15/2020 14:45,"-7,359.05"
9/15/2020 15:00,"-3,647.53"
9/15/2020 15:15,"-4,068.66"
9/15/2020 15:30,"-3,956.61"
9/15/2020 15:45,"-4,061.68"
9/15/2020 16:00,"-4,050.55"
9/15/2020 16:15,"-3,918.06"
9/15/2020 16:30,"-3,588.75"
9/15/2020 16:45,"-3,535.71"
9/15/2020 17:00,"-3,510.46"
9/15/2020 17:15,"-3,565.94"
9/15/2020 17:30,"-3,551.08"
9/15/2020 17:45,"-3,561.34"
9/15/2020 18:00,"-3,613.42"
9/15/2020 18:15,"-3,596.17"
9/15/2020 18:30,"-3,609.58"
9/15/2020 18:45,"-3,611.54"
9/15/2020 19:00,"-3,547.35"
9/15/2020 19:15,"-3,560.86"
9/15/2020 19:30,"-3,581.36"
9/15/2020 19:45,"-3,531.35"
9/15/2020 20:00,"-3,549.75"
9/15/2020 20:15,"-3,542.94"
9/15/2020 20:30,"-3,521.29"
9/15/2020 20:45,"-3,417.34"
9/15/2020 21:00,"-3,360.80"
9/15/2020 21:15,"-3,343.29"
9/15/2020 21:30,"-3,218.32"
9/15/2020 21:45,"-3,285.41"
9/15/2020 22:00,"-3,213.97"
9/15/2020 22:15,"-3,171.18"
9/15/2020 22:30,"-3,077.50"
9/15/2020 22:45,"-3,120.54"
9/15/2020 23:00,"-3,078.85"
9/15/2020 23:15,"-2,996.68"
9/15/2020 23:30,"-2,892.06"
9/15/2020 23:45,"-2,825.56"
9/16/2020 0:00,"-2,762.79"
9/16/2020 0:15,"-2,768.57"
9/16/2020 0:30,"-2,761.99"
9/16/2020 0:45,"-2,724.30"
9/16/2020 1:00,"-2,715.68"
9/16/2020 1:15,"-2,671.25"
9/16/2020 1:30,"-2,684.64"
9/16/2020 1:45,"-2,675.77"
9/16/2020 2:00,"-2,638.92"
9/16/2020 2:15,"-2,617.19"
9/16/2020 2:30,"-2,577.43"
9/16/2020 2:45,"-2,582.85"
9/16/2020 3:00,"-2,496.49"
9/16/2020 3:15,"-2,463.47"
9/16/2020 3:30,"-2,460.94"
9/16/2020 3:45,"-2,432.12"
9/16/2020 4:00,"-2,481.24"
9/16/2020 4:15,"-2,542.00"
9/16/2020 4:30,"-2,753.52"
9/16/2020 4:45,"-3,094.57"
9/16/2020 5:00,"-3,569.93"
9/16/2020 5:15,"-3,507.62"
9/16/2020 5:30,"-3,471.56"
9/16/2020 5:45,"-3,339.15"
9/16/2020 6:00,"-3,177.70"
9/16/2020 6:15,"-3,079.31"
9/16/2020 6:30,"-2,998.47"
9/16/2020 6:45,"-3,018.12"
9/16/2020 7:00,"-3,004.64"
9/16/2020 7:15,"-2,956.18"
9/16/2020 7:30,"-2,900.98"
9/16/2020 7:45,"-2,767.05"
9/16/2020 8:00,"-2,594.69"
9/16/2020 8:15,"-2,576.03"
9/16/2020 8:30,"-2,628.61"
9/16/2020 8:45,"-2,670.69"
9/16/2020 9:00,"-2,758.64"
9/16/2020 9:15,"-2,851.26"
9/16/2020 9:30,"-3,107.45"
9/16/2020 9:45,"-3,193.75"
9/16/2020 10:00,"-3,820.40"
9/16/2020 10:15,"-3,690.52"
9/16/2020 10:30,"-3,848.54"
9/16/2020 10:45,"-3,875.20"
9/16/2020 11:00,"-3,933.56"
9/16/2020 11:15,"-3,961.92"
9/16/2020 11:30,"-3,975.84"
9/16/2020 11:45,"-3,971.64"
9/16/2020 12:00,"-4,145.68"
9/16/2020 12:15,"-4,135.87"
9/16/2020 12:30,"-4,109.19"
9/16/2020 12:45,"-4,055.97"
9/16/2020 13:00,"-4,107.40"
9/16/2020 13:15,"-4,277.83"
9/16/2020 13:30,"-4,306.10"
9/16/2020 13:45,"-4,297.61"
9/16/2020 14:00,"-4,313.50"
9/16/2020 14:15,"-3,976.70"
9/16/2020 14:30,"-3,946.81"
9/16/2020 14:45,"-4,352.16"
9/16/2020 15:00,"-4,551.78"
9/16/2020 15:15,"-4,506.04"
9/16/2020 15:30,"-4,493.33"
9/16/2020 15:45,"-4,501.22"
9/16/2020 16:00,"-4,489.83"
9/16/2020 16:15,"-4,556.82"
9/16/2020 16:30,"-4,437.45"
9/16/2020 16:45,"-4,330.18"
9/16/2020 17:00,"-4,149.51"
9/16/2020 17:15,"-3,995.00"
9/16/2020 17:30,"-3,705.69"
9/16/2020 17:45,"-3,704.88"
9/16/2020 18:00,"-3,691.67"
9/16/2020 18:15,"-3,727.03"
9/16/2020 18:30,"-3,629.28"
9/16/2020 18:45,"-3,521.04"
9/16/2020 19:00,"-3,493.22"
9/16/2020 19:15,"-3,489.50"
9/16/2020 19:30,"-3,554.06"
9/16/2020 19:45,"-3,575.58"
9/16/2020 20:00,"-3,575.94"
9/16/2020 20:15,"-3,544.43"
9/16/2020 20:30,"-3,489.28"
9/16/2020 20:45,"-3,507.11"
9/16/2020 21:00,"-3,573.71"
9/16/2020 21:15,"-3,610.55"
9/16/2020 21:30,"-3,551.31"
9/16/2020 21:45,"-3,530.06"
9/16/2020 22:00,"-3,512.77"
9/16/2020 22:15,"-3,484.93"
9/16/2020 22:30,"-3,670.72"
9/16/2020 22:45,"-3,637.43"
9/16/2020 23:00,"-3,617.81"
9/16/2020 23:15,"-3,578.38"
9/16/2020 23:30,"-3,529.84"
9/16/2020 23:45,"-3,511.13"
9/17/2020 0:00,"-3,475.98"
9/17/2020 0:15,"-3,418.19"
9/17/2020 0:30,"-3,353.49"
9/17/2020 0:45,"-3,341.95"
9/17/2020 1:00,"-3,325.38"
9/17/2020 1:15,"-3,286.04"
9/17/2020 1:30,"-3,325.70"
