Timestamp,"MCSS.MB8240
Apparent Power
(kVA)","MCSS.MB8240
Current Avg
(A)","MCSS.MB8240
Power Factor
(%)","MCSS.MB8240
Real Power
(kW)",,,,,
6/22/2020 11:00,"17,612.69",,,"-16,911.69",,,,,
6/22/2020 11:15,"18,139.64",,,"-17,437.16",,,,,
6/22/2020 11:30,"18,670.83",,,"-17,966.48",,,,,
6/22/2020 11:45,"18,706.11",,,"-18,021.25",,,,,
6/22/2020 12:00,"18,401.18",,,"-17,700.72",,,,,
6/22/2020 12:15,"18,995.05",,,"-18,291.46",,,,,
6/22/2020 12:30,"18,905.81",,,"-18,207.88",,,,,
6/22/2020 12:45,"18,925.69",,,"-18,196.92",,,,,
6/22/2020 13:00,"18,811.28",,,"-18,082.72",,,,,
6/22/2020 13:15,"18,862.27",,,"-18,129.20",,,,,
6/22/2020 13:30,"18,946.81",,,"-18,222.58",,,,,
6/22/2020 13:45,"18,978.26",,,"-18,255.27",,,,,
6/22/2020 14:00,"18,956.52",,,"-18,264.22",,,,,
6/22/2020 14:15,"18,918.76",,,"-18,211.51",,,,,
6/22/2020 14:30,"18,948.04",,,"-18,239.97",,,,,
6/22/2020 14:45,"18,766.61",,,"-18,048.88",,,,,
6/22/2020 15:00,"18,584.88",,,"-17,876.48",,,,,
6/22/2020 15:15,"18,127.62",,,"-17,410.96",,,,,
6/22/2020 15:30,"17,502.58",,,"-16,775.79",,,,,
6/22/2020 15:45,"17,223.41",,,"-16,496.62",,,,,
6/22/2020 16:00,"17,922.38",,,"-17,198.09",,,,,
6/22/2020 16:15,"17,757.70",,,"-17,033.26",,,,,
6/22/2020 16:30,"17,368.76",,,"-16,631.19",,,,,
6/22/2020 16:45,"17,718.52",,,"-16,973.49",,,,,
6/22/2020 17:00,"17,267.22",,,"-16,538.20",,,,,
6/22/2020 17:15,"16,022.29",,,"-15,273.04",,,,,
6/22/2020 17:30,"16,396.83",,,"-15,638.46",,,,,
6/22/2020 17:45,"16,508.09",,,"-15,751.06",,,,,
6/22/2020 18:00,"16,264.32",,,"-15,484.96",,,,,
6/22/2020 18:15,"16,199.95",,,"-15,421.43",,,,,
6/22/2020 18:30,"15,924.22",,,"-15,155.79",,,,,
6/22/2020 18:45,"15,528.26",,,"-14,776.02",,,,,
6/22/2020 19:00,"15,899.94",,,"-15,140.85",,,,,
6/22/2020 19:15,"16,298.14",,,"-15,537.09",,,,,
6/22/2020 19:30,"15,871.81",,,"-15,078.64",,,,,
6/22/2020 19:45,"16,034.42",,,"-15,243.25",,,,,
6/22/2020 20:00,"16,351.16",,,"-15,577.14",,,,,
6/22/2020 20:15,"15,842.42",,,"-15,047.37",,,,,
6/22/2020 20:30,"15,325.95",,,"-14,530.37",,,,,
6/22/2020 20:45,"15,529.52",,,"-14,752.16",,,,,
6/22/2020 21:00,"16,481.70",,,"-15,733.21",,,,,
6/22/2020 21:15,"16,753.77",,,"-16,005.76",,,,,
6/22/2020 21:30,"16,325.12",,,"-15,570.35",,,,,
6/22/2020 21:45,"15,464.59",,,"-14,695.90",,,,,
6/22/2020 22:00,"15,273.68",,,"-14,510.18",,,,,
6/22/2020 22:15,"15,238.78",,,"-14,513.10",,,,,
6/22/2020 22:30,"15,277.48",,,"-14,557.31",,,,,
6/22/2020 22:45,"14,958.10",,,"-14,212.37",,,,,
6/22/2020 23:00,"15,355.08",,,"-14,602.81",,,,,
6/22/2020 23:15,"15,119.40",,,"-14,368.49",,,,,
6/22/2020 23:30,"14,902.13",,,"-14,123.08",,,,,
6/22/2020 23:45,"15,461.65",,,"-14,702.64",,,,,
6/23/2020 0:00,"15,591.64",,,"-14,811.21",,,,,
6/23/2020 0:15,"15,304.55",,,"-14,523.23",,,,,
6/23/2020 0:30,"15,051.67",,,"-14,253.27",,,,,
6/23/2020 0:45,"15,070.61",,,"-14,276.17",,,,,
6/23/2020 1:00,"14,713.04",,,"-13,898.25",,,,,
6/23/2020 1:15,"15,058.94",,,"-14,266.21",,,,,
